name,type,city,rating,reviews_count,price_range,link,categories,address,phone
MrBeast Burger,fast food,Sacramento,2.2,58,N/A,https://www.yelp.com/biz/mrbeast-burger-sacramento?osq=fast+food,"['Food Delivery Services', 'Burgers']",N/A,(877) 232-7898
In-N-Out Burger,fast food,Sacramento,3.9,369,$,https://www.yelp.com/biz/in-n-out-burger-sacramento-4?osq=fast+food,"['Burgers', 'Fast Food', 'Casual', 'Trendy']",N/A,(800) 786-1000
Jack in the Box,fast food,Sacramento,2.3,87,$,https://www.yelp.com/biz/jack-in-the-box-sacramento-24?osq=fast+food,"['Burgers', 'Fast Food', 'Tacos', 'Divey', 'Hipster']",N/A,(916) 455-8690
Shake Shack Ice Blocks,fast food,Sacramento,3.3,587,$$,https://www.yelp.com/biz/shake-shack-ice-blocks-sacramento?osq=fast+food,"['Burgers', 'Fast Food', 'Ice Cream & Frozen Yogurt']",N/A,(279) 321-4001
In-N-Out Burger,fast food,San Jose,4.0,711,$,https://www.yelp.com/biz/in-n-out-burger-san-jose-5?osq=fast+food,"['Burgers', 'Fast Food', 'Casual', 'Trendy']",N/A,(800) 786-1000
Jollibee,fast food,San Jose,3.2,522,$$,https://www.yelp.com/biz/jollibee-san-jose?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Casual', 'Trendy']",N/A,(408) 238-8763
Chick-fil-A,fast food,San Jose,3.2,729,$,https://www.yelp.com/biz/chick-fil-a-san-jose-2?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Salad', 'Casual', 'Touristy']",N/A,(408) 975-6102
Wendy’s,fast food,San Jose,2.5,120,$,https://www.yelp.com/biz/wendys-san-jose-3?osq=fast+food,"['Fast Food', 'Burgers', 'Casual', 'Touristy']",N/A,(408) 287-9903
Raising Cane’s,fast food,San Jose,5.0,1,N/A,https://www.yelp.com/biz/raising-cane-s-san-jose?osq=fast+food,"['Fast Food', 'American']",N/A,N/A
Fugetsu - San Jose,fast food,San Jose,4.2,323,$$,https://www.yelp.com/biz/fugetsu-san-jose-san-jose-2?osq=fast+food,"['Teppanyaki', 'Delis']",N/A,N/A
McDonald’s,fast food,San Jose,2.0,154,$,https://www.yelp.com/biz/mcdonalds-san-jose-48?osq=fast+food,"['Burgers', 'Fast Food', 'Coffee & Tea', 'Casual', 'Divey']",N/A,(408) 275-0389
Sliders Burger,fast food,San Jose,4.3,1366,$$,https://www.yelp.com/biz/sliders-burger-san-jose?osq=fast+food,"['Burgers', 'Fast Food', 'American', 'Casual', 'Divey']",N/A,(408) 298-4340
Jack in the Box,fast food,San Jose,2.5,119,$,https://www.yelp.com/biz/jack-in-the-box-san-jose-13?osq=fast+food,"['Burgers', 'Fast Food', 'Tacos', 'Casual', 'Divey']",N/A,(669) 230-4105
Carl’s Jr,fast food,San Jose,2.0,75,$,https://www.yelp.com/biz/carls-jr-san-jose-8?osq=fast+food,"['Fast Food', 'Burgers', 'Casual', 'Hipster']",N/A,(408) 239-4435
Hammy’s Smash Burgers,fast food,Fresno,4.6,374,$$,https://www.yelp.com/biz/hammy-s-smash-burgers-fresno?osq=fast+food,"['Burgers', 'Casual', 'Trendy']",N/A,N/A
Chopt Sammies,fast food,Fresno,5.0,1,N/A,https://www.yelp.com/biz/chopt-sammies-fresno-2?osq=fast+food,"['Sandwiches', 'Fast Food', 'Food Delivery Services']",N/A,(707) 771-8777
Chick-fil-A,fast food,Fresno,3.3,257,$,https://www.yelp.com/biz/chick-fil-a-fresno-6?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Salad', 'Casual', 'Trendy']",N/A,(559) 226-1967
Sushiyaki,fast food,Fresno,4.4,301,$$,https://www.yelp.com/biz/sushiyaki-fresno?osq=fast+food,"['Teppanyaki', 'Sushi Bars', 'Chicken Wings', 'Casual', 'Divey']",N/A,(559) 492-3166
The Burger Shack,fast food,Fresno,4.2,79,N/A,https://www.yelp.com/biz/the-burger-shack-fresno-2?osq=fast+food,"['Burgers', 'Sandwiches', 'Chicken Wings', 'Casual', 'Divey']",N/A,(559) 552-7514
McDonald’s,fast food,Fresno,1.5,98,$,https://www.yelp.com/biz/mcdonalds-fresno-4?osq=fast+food,"['Fast Food', 'Burgers', 'Coffee & Tea', 'Casual', 'Hipster']",N/A,(559) 248-9378
Raising Cane’s Chicken Fingers,fast food,Fresno,2.8,125,N/A,https://www.yelp.com/biz/raising-canes-chicken-fingers-fresno?osq=fast+food,"['Chicken Shop', 'Fast Food']",N/A,(559) 650-7290
Zeni-Ya Japanese Fast Food,fast food,Fresno,4.0,226,$,https://www.yelp.com/biz/zeni-ya-japanese-fast-food-fresno?osq=fast+food,"['Japanese', 'Fast Food', 'Casual', 'Divey']",N/A,(559) 432-7423
Angry Chickz,fast food,Fresno,4.2,493,$$,https://www.yelp.com/biz/angry-chickz-fresno-2?osq=fast+food,"['Chicken Shop', 'American', 'Southern', 'Casual', 'Trendy']",N/A,(800) 498-9836
In-N-Out Burger,fast food,Fresno,4.1,111,$,https://www.yelp.com/biz/in-n-out-burger-fresno-4?osq=fast+food,"['Burgers', 'Fast Food', 'American', 'Casual', 'Touristy']",N/A,(800) 786-1000
Crack,fast food,Long Beach,4.8,687,$$,https://www.yelp.com/biz/crack-long-beach-2?osq=fast+food,"['Burgers', 'Comfort Food', 'Sandwiches', 'Casual', 'Trendy']",N/A,(714) 561-7165
Chick-fil-A,fast food,Long Beach,3.1,371,$$,https://www.yelp.com/biz/chick-fil-a-long-beach-2?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Sandwiches', 'Casual', 'Divey']",N/A,(562) 494-7310
Fantastic Burgers,fast food,Long Beach,3.3,261,$,https://www.yelp.com/biz/fantastic-burgers-long-beach?osq=fast+food,"['American', 'Fast Food', 'Mexican', 'Casual', 'Divey']",N/A,(562) 424-8002
Wendy’s,fast food,Long Beach,2.3,199,$,https://www.yelp.com/biz/wendys-long-beach?osq=fast+food,"['Burgers', 'Fast Food', 'Casual', 'Divey']",N/A,(562) 597-2822
Fantastic Burgers,fast food,Long Beach,2.6,627,$$,https://www.yelp.com/biz/fantastic-burgers-long-beach-3?osq=fast+food,"['American', 'Burgers', 'Casual', 'Divey']",N/A,(562) 490-2777
In-N-Out Burger,fast food,Long Beach,4.1,505,$,https://www.yelp.com/biz/in-n-out-burger-signal-hill?osq=fast+food,"['Fast Food', 'Burgers', 'American', 'Casual', 'Trendy']",N/A,(800) 786-1000
EggBred - Long Beach,fast food,Long Beach,4.4,114,$$,https://www.yelp.com/biz/eggbred-long-beach-long-beach?osq=fast+food,"['Breakfast & Brunch', 'Sandwiches', 'Burgers', 'Hipster', 'Casual']",N/A,(562) 436-0949
Louisiana Famous Fried Chicken,fast food,Long Beach,4.4,154,$$,https://www.yelp.com/biz/louisiana-famous-fried-chicken-long-beach?osq=fast+food,"['Fish & Chips', 'Burgers', 'Chicken Shop', 'Casual', 'Divey']",N/A,(562) 595-8552
Louis Burgers III,fast food,Long Beach,3.6,811,$,https://www.yelp.com/biz/louis-burgers-iii-long-beach?osq=fast+food,"['Burgers', 'Breakfast & Brunch', 'Mexican', 'Casual', 'Divey']",N/A,(562) 437-4078
Zankou Chicken,fast food,Long Beach,4.2,315,$$,https://www.yelp.com/biz/zankou-chicken-long-beach-2?osq=fast+food,"['Mediterranean', 'Chicken Shop', 'Wraps', 'Casual', 'Trendy']",N/A,(562) 485-5255
Banh Mi Ba Le,fast food,Oakland,4.4,1507,$,https://www.yelp.com/biz/banh-mi-ba-le-oakland?osq=fast+food,"['Vietnamese', 'Sandwiches', 'Casual', 'Divey']",N/A,(510) 261-9800
Jollibee,fast food,Oakland,3.1,96,$$,https://www.yelp.com/biz/jollibee-alameda?osq=fast+food,"['Chicken Shop', 'Fast Food', 'Casual', 'Touristy']",N/A,N/A
Raising Cane’s Chicken Fingers,fast food,Oakland,2.8,423,$$,https://www.yelp.com/biz/raising-canes-chicken-fingers-oakland?osq=fast+food,"['Fast Food', 'Chicken Shop']",N/A,(510) 542-5872
Wendy’s,fast food,Oakland,2.3,126,$,https://www.yelp.com/biz/wendys-oakland-7?osq=fast+food,"['Burgers', 'Fast Food', 'Casual', 'Divey']",N/A,(510) 654-3711
Mom’s Bun Mi,fast food,Oakland,4.1,323,$,https://www.yelp.com/biz/moms-bun-mi-oakland?osq=fast+food,"['Vietnamese', 'Sandwiches', 'Coffee & Tea', 'Casual', 'Divey']",N/A,(510) 696-1028
McDonald’s,fast food,Oakland,1.9,148,$,https://www.yelp.com/biz/mcdonalds-oakland-6?osq=fast+food,"['Fast Food', 'Burgers', 'Coffee & Tea', 'Casual', 'Divey']",N/A,(510) 839-3876
TrueBurger,fast food,Oakland,4.0,1947,$$,https://www.yelp.com/biz/trueburger-oakland?osq=fast+food,"['Burgers', 'Casual', 'Hipster']",N/A,(510) 208-5678
In-N-Out,fast food,Oakland,4.0,448,$,https://www.yelp.com/biz/in-n-out-alameda?osq=fast+food,"['Burgers', 'Fast Food', 'Casual', 'Trendy']",N/A,(800) 786-1000
Nation’s Giant Hamburgers,fast food,Oakland,3.2,284,$,https://www.yelp.com/biz/nations-giant-hamburgers-oakland-2?osq=fast+food,"['Burgers', 'Desserts', 'Breakfast & Brunch', 'Casual', 'Divey']",N/A,(510) 451-6350
McDonald’s,fast food,Oakland,2.0,168,$,https://www.yelp.com/biz/mcdonalds-oakland-8?osq=fast+food,"['Burgers', 'Fast Food', 'Coffee & Tea', 'Casual', 'Divey']",N/A,(510) 654-7087
Chick-fil-A,fast food,Bakersfield,3.7,371,$$,https://www.yelp.com/biz/chick-fil-a-bakersfield-2?osq=fast+food,"['Salad', 'Fast Food', 'Chicken Shop', 'Casual', 'Trendy']",N/A,(661) 327-5260
Jollibee,fast food,Bakersfield,3.4,195,$,https://www.yelp.com/biz/jollibee-bakersfield?osq=fast+food,"['Fast Food', 'Chicken Shop']",N/A,(661) 404-1375
Firestone Grill,fast food,Bakersfield,4.4,1314,$$,https://www.yelp.com/biz/firestone-grill-bakersfield?osq=fast+food,"['Barbeque', 'Sports Bars', 'Burgers', 'Casual', 'Trendy']",N/A,(661) 742-1296
Flame N Freeze,fast food,Bakersfield,3.8,67,$,https://www.yelp.com/biz/flame-n-freeze-bakersfield?osq=fast+food,"['Breakfast & Brunch', 'Ice Cream & Frozen Yogurt', 'American', 'Casual', 'Touristy']",N/A,(661) 395-3158
Shake ‘N Buns,fast food,Bakersfield,3.7,287,$$,https://www.yelp.com/biz/shake-n-buns-bakersfield?osq=fast+food,"['Fast Food', 'American', 'Casual', 'Trendy']",N/A,(661) 835-1717
In-N-Out Burger,fast food,Bakersfield,4.2,345,$,https://www.yelp.com/biz/in-n-out-burger-bakersfield?osq=fast+food,"['Burgers', 'Fast Food', 'American', 'Casual', 'Touristy']",N/A,(800) 786-1000
Raising Cane’s Chicken Fingers,fast food,Bakersfield,3.0,163,N/A,https://www.yelp.com/biz/raising-canes-chicken-fingers-bakersfield-8?osq=fast+food,"['Chicken Shop', 'Fast Food']",N/A,(661) 863-0135
Popeyes Louisiana Kitchen,fast food,Bakersfield,2.8,60,$,https://www.yelp.com/biz/popeyes-louisiana-kitchen-buttonwillow?osq=fast+food,"['Fast Food', 'Chicken Wings', 'Casual', 'Touristy']",N/A,(661) 764-5266
Habit Burger & Grill,fast food,Bakersfield,3.7,312,$,https://www.yelp.com/biz/habit-burger-and-grill-bakersfield-3?osq=fast+food,"['Burgers', 'Salad', 'Sandwiches', 'Casual', 'Trendy']",N/A,(661) 322-2356
Freddy’s Frozen Custard & Steakburgers,fast food,Bakersfield,3.5,313,$$,https://www.yelp.com/biz/freddys-frozen-custard-and-steakburgers-bakersfield?osq=fast+food,"['Fast Food', 'Burgers', 'Ice Cream & Frozen Yogurt', 'Casual', 'Touristy']",N/A,(661) 587-3374
Cali Tacos,fast food,Anaheim,3.6,2923,$$,https://www.yelp.com/biz/cali-tacos-orange?osq=fast+food,"['Mexican', 'Casual', 'Divey']",N/A,(714) 912-4888
In-N-Out Burger,fast food,Anaheim,4.0,527,$$,https://www.yelp.com/biz/in-n-out-burger-anaheim-5?osq=fast+food,"['Burgers', 'Fast Food', 'Casual', 'Trendy']",N/A,(800) 786-1000
Tacos Los Cholos - Anaheim,fast food,Anaheim,4.6,4744,$$,https://www.yelp.com/biz/tacos-los-cholos-anaheim-anaheim?osq=fast+food,"['Tacos', 'Casual', 'Trendy']",N/A,(714) 864-5180
Varsity Burger,fast food,Anaheim,3.9,839,$,https://www.yelp.com/biz/varsity-burger-anaheim?osq=fast+food,"['Burgers', 'Fast Food', 'Mexican', 'Casual', 'Divey']",N/A,(714) 956-2772
Nexx Burger,fast food,Anaheim,4.3,834,N/A,https://www.yelp.com/biz/nexx-burger-orange-2?osq=fast+food,"['Burgers', 'Fast Food']",N/A,N/A
Jollibee,fast food,Anaheim,2.8,906,$$,https://www.yelp.com/biz/jollibee-anaheim?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Casual', 'Divey']",N/A,(714) 635-0265
Paul’s Place,fast food,Anaheim,3.9,514,$$,https://www.yelp.com/biz/pauls-place-orange?osq=fast+food,"['Diners', 'Fast Food', 'Casual', 'Classy']",N/A,(714) 283-8701
Chick-fil-A,fast food,Anaheim,2.6,232,$$,https://www.yelp.com/biz/chick-fil-a-orange-7?osq=fast+food,"['Salad', 'Fast Food', 'Chicken Shop']",N/A,(714) 794-3050
Portillo’s,fast food,Anaheim,4.0,4161,$$,https://www.yelp.com/biz/portillos-buena-park-2?osq=fast+food,"['Hot Dogs', 'Salad', 'Burgers', 'Casual', 'Touristy']",N/A,(714) 220-6400
The Hat,fast food,Anaheim,3.9,1909,$$,https://www.yelp.com/biz/the-hat-brea?osq=fast+food,"['Sandwiches', 'American', 'Fast Food', 'Casual', 'Divey']",N/A,(714) 257-9500
Taco Pronto,fast food,Santa Ana,4.4,901,$$,https://www.yelp.com/biz/taco-pronto-santa-ana?osq=fast+food,"['Mexican', 'Fast Food', 'Casual', 'Divey']",N/A,(714) 558-1082
Chick-fil-A,fast food,Santa Ana,3.5,627,$,https://www.yelp.com/biz/chick-fil-a-santa-ana?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Sandwiches', 'Casual', 'Classy']",N/A,(714) 540-0020
Cali Tacos,fast food,Santa Ana,3.6,2923,$$,https://www.yelp.com/biz/cali-tacos-orange?osq=fast+food,"['Mexican', 'Casual', 'Divey']",N/A,(714) 912-4888
McDonald’s,fast food,Santa Ana,1.6,160,$,https://www.yelp.com/biz/mcdonalds-santa-ana-4?osq=fast+food,"['Fast Food', 'Burgers', 'Coffee & Tea', 'Divey', 'Touristy']",N/A,(714) 972-3140
Nate’s Korner,fast food,Santa Ana,4.0,2985,$$,https://www.yelp.com/biz/nates-korner-santa-ana?osq=fast+food,"['Breakfast & Brunch', 'Burgers', 'Sandwiches', 'Casual', 'Divey']",N/A,(714) 545-5772
In-N-Out Burger,fast food,Santa Ana,3.4,276,$,https://www.yelp.com/biz/in-n-out-burger-santa-ana-2?osq=fast+food,"['Burgers', 'Fast Food', 'American', 'Casual', 'Trendy']",N/A,(800) 786-1000
Lucky Guys Burgers,fast food,Santa Ana,3.4,217,$,https://www.yelp.com/biz/lucky-guys-burgers-santa-ana-2?osq=fast+food,"['Burgers', 'Casual', 'Divey']",N/A,(714) 543-1939
Dino’s Burgers,fast food,Santa Ana,3.0,152,$$,https://www.yelp.com/biz/dinos-burgers-santa-ana?osq=fast+food,"['Burgers', 'Breakfast & Brunch', 'Casual', 'Divey']",N/A,(714) 542-8927
McDonald’s,fast food,Santa Ana,1.7,90,$,https://www.yelp.com/biz/mcdonalds-santa-ana-15?osq=fast+food,"['Fast Food', 'Burgers', 'Coffee & Tea', 'Casual', 'Divey']",N/A,(714) 541-0025
Taqueria Carniceria Tapatia,fast food,Santa Ana,4.0,304,$,https://www.yelp.com/biz/taqueria-carniceria-tapatia-santa-ana-2?osq=fast+food,"['Mexican', 'Casual', 'Divey']",N/A,(714) 835-8168
Monty’s Good Burger,fast food,Riverside,4.4,1526,$$,https://www.yelp.com/biz/montys-good-burger-riverside?osq=fast+food,"['Burgers', 'Vegan', 'Chicken Shop', 'Casual', 'Trendy']",N/A,(213) 516-4788
The Lucky Greek,fast food,Riverside,3.6,290,$$,https://www.yelp.com/biz/the-lucky-greek-riverside-2?osq=fast+food,"['Greek', 'Burgers', 'Fast Food', 'Casual', 'Divey']",N/A,(951) 686-2621
Everytable,fast food,Riverside,4.1,38,N/A,https://www.yelp.com/biz/everytable-riverside?osq=fast+food,"['Salad', 'Fast Food', 'Sandwiches', 'Touristy', 'Casual']",N/A,(562) 719-8314
Raising Cane’s Chicken Fingers,fast food,Riverside,3.1,736,$$,https://www.yelp.com/biz/raising-canes-chicken-fingers-riverside-8?osq=fast+food,"['Chicken Shop', 'Fast Food', 'Casual', 'Trendy']",N/A,(951) 637-6551
R Burgers,fast food,Riverside,3.9,627,$$,https://www.yelp.com/biz/r-burgers-riverside?osq=fast+food,"['Burgers', 'Diners', 'Breakfast & Brunch', 'Casual', 'Hipster']",N/A,(951) 784-4350
In-N-Out Burger,fast food,Riverside,3.4,422,$$,https://www.yelp.com/biz/in-n-out-burger-riverside?osq=fast+food,"['Fast Food', 'Burgers', 'Casual', 'Trendy']",N/A,(800) 786-1000
Tams Burgers,fast food,Riverside,3.3,156,$,https://www.yelp.com/biz/tams-burgers-riverside?osq=fast+food,"['Burgers', 'Casual', 'Divey']",N/A,(951) 742-5684
Chick-fil-A,fast food,Riverside,2.6,309,$,https://www.yelp.com/biz/chick-fil-a-riverside-4?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Salad', 'Casual', 'Trendy']",N/A,(951) 300-2029
Wendy’s,fast food,Riverside,2.2,180,$,https://www.yelp.com/biz/wendys-riverside-7?osq=fast+food,"['Burgers', 'Fast Food', 'Casual', 'Trendy']",N/A,(951) 328-7951
McDonald’s,fast food,Riverside,1.5,327,$,https://www.yelp.com/biz/mcdonalds-riverside-25?osq=fast+food,"['Fast Food', 'Burgers', 'Coffee & Tea', 'Casual', 'Divey']",N/A,(951) 809-8469
Midnight At Burnies Drive-up,fast food,Stockton,4.0,528,$$,https://www.yelp.com/biz/midnight-at-burnies-drive-up-stockton?osq=fast+food,"['Burgers', 'Ice Cream & Frozen Yogurt', 'Cheesesteaks', 'Casual', 'Divey']",N/A,(209) 952-0057
Chick-fil-A,fast food,Stockton,3.3,406,$$,https://www.yelp.com/biz/chick-fil-a-stockton-3?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Salad', 'Casual', 'Trendy']",N/A,(209) 477-5936
Bigworm’s Bakery & Deli,fast food,Stockton,4.8,472,$,https://www.yelp.com/biz/bigworms-bakery-and-deli-stockton-2?osq=fast+food,"['Delis', 'Bakeries', 'Donuts', 'Casual', 'Hipster']",N/A,(209) 451-3375
Luu’s Chicken Bowl,fast food,Stockton,3.6,132,$,https://www.yelp.com/biz/luus-chicken-bowl-stockton?osq=fast+food,"['Japanese', 'Fast Food', 'Casual', 'Divey']",N/A,(209) 473-7454
Stockton Smash Burger,fast food,Stockton,4.4,63,$$,https://www.yelp.com/biz/stockton-smash-burger-stockton-2?osq=fast+food,"['Burgers', 'Casual', 'Trendy']",N/A,(209) 227-5556
Taste Of Bae The Soul Way,fast food,Stockton,4.2,19,N/A,https://www.yelp.com/biz/taste-of-bae-the-soul-way-stockton-2?osq=fast+food,"['Food Delivery Services', 'Caterers']",N/A,(209) 782-7831
Raising Cane’s Chicken Fingers,fast food,Stockton,2.7,178,$$,https://www.yelp.com/biz/raising-cane-s-chicken-fingers-stockton?osq=fast+food,"['Fast Food', 'Chicken Shop']",N/A,(209) 307-9956
California Burrito,fast food,Stockton,4.0,111,$$,https://www.yelp.com/biz/california-burrito-lodi?osq=fast+food,"['Mexican', 'Casual', 'Trendy']",N/A,(209) 294-4115
